央视卫视,#genre#
CCTV-1,http://183.215.102.57:8089/180000001001/00000001000000000007000000001243/index.m3u8
CCTV-1,http://183.215.102.57:8089/180000001001/00000001000000001001000000000036/index.m3u8
CCTV-2,http://183.215.102.57:8089/180000001001/00000001000000000008000000047431/index.m3u8
CCTV-3,http://183.215.102.57:8089/180000001001/00000001000000001001000000000051/index.m3u8
CCTV-3,http://183.215.102.57:8089/180000001001/00000001000000000008000000047432/index.m3u8
CCTV-4,http://183.215.102.57:8089/180000001001/00000001000000001001000000000052/index.m3u8
CCTV-4,http://183.215.102.57:8089/180000001001/00000001000000000008000000047433/index.m3u8
CCTV-5,http://183.215.102.57:8089/180000001001/00000001000000001001000000000053/index.m3u8
CCTV-5,http://183.215.102.57:8089/180000001001/00000001000000000008000000047434/index.m3u8
CCTV-5+,http://183.215.102.57:8089/180000001001/00000001000000001001000000000061/index.m3u8
CCTV-5+,http://183.215.102.57:8089/180000001001/00000001000000000008000000047442/index.m3u8
CCTV-6,http://183.215.102.57:8089/180000001001/00000001000000001001000000000054/index.m3u8
CCTV-6,http://183.215.102.57:8089/180000001001/00000001000000000008000000047435/index.m3u8
CCTV-7,http://183.215.102.57:8089/180000001001/00000001000000001001000000000055/index.m3u8
CCTV-7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/index.m3u8
CCTV-8,http://183.215.102.57:8089/180000001001/00000001000000001001000000000056/index.m3u8
CCTV-8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/index.m3u8

湖南IPTV,#genre#
湖南卫视,http://39.134.13.35:6610/180000001001/00000001000000001001000000000035/main.m3u8?IASHttpSessionId=OTT
湖南卫视,http://183.215.116.134:6610/180000001001/00000001000000000014000000153735/main.m3u8?IASHttpSessionId=OTT
湖南卫视,http://39.134.13.35:6610/180000001001/00000001000000000002000000027982/main.m3u8?IASHttpSessionId=OTT
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/index.m3u8
湖南经视,http://39.134.13.35:6610/180000001001/00000001000000000002000000027983/main.m3u8?IASHttpSessionId=OTT
教育1台,http://39.134.13.35:6610/180000001001/00000001000000001007000000063289/main.m3u8?IASHttpSessionId=OTT
教育1台,http://39.134.13.35:6610/180000001001/00000001000000000016000000007220/index.m3u8?
教育4台,http://183.215.102.57:8089/180000001001/00000001000000000024000000361368/index.m3u8
